[150, 97]
[160, 241]
[192, 72]
[70, 306]
[72, 243]
[101, 306]
[112, 241]
[209, 278]
[184, 11]
[130, 93]
[43, 103]
[77, 37]
[129, 211]
[180, 152]
[43, 138]
[47, 299]
[95, 204]
[129, 173]
[130, 48]
[130, 66]
[164, 160]
[164, 213]
[164, 92]
[43, 111]
[43, 156]
[77, 45]
[77, 112]
[77, 206]
[93, 52]
[95, 190]
[164, 79]
[135, 32]
[182, 236]
[255, 233]
[49, 31]
[51, 254]
[57, 79]
[93, 4]
[99, 32]
[113, 254]
[117, 4]
[129, 233]
[140, 4]
[141, 150]
[173, 254]
[193, 79]
[193, 128]
[207, 236]
[98, 233]
[99, 254]
[100, 150]
[111, 150]
[156, 233]
[159, 8]
[159, 254]
[193, 236]
[251, 233]
[206, 80]
[173, 87]
[35, 248]
[71, 41]
[71, 108]
[71, 152]
[86, 80]
[86, 59]
[88, 162]
[88, 190]
[123, 205]
[157, 38]
[157, 84]
[157, 153]
[173, 54]
[169, 20]
[173, 99]
[173, 111]
[173, 19]
[173, 32]
[173, 148]
[173, 185]
[195, 297]
[206, 107]
[206, 140]
[206, 189]
[206, 202]
[219, 248]
[229, 260]
[236, 294]
[35, 257]
[88, 151]
[157, 161]
[205, 9]
[236, 303]
[173, 158]
[25, 264]
[31, 261]
[107, 243]
[80, 306]
[120, 97]
[126, 143]
[130, 241]
[140, 241]
[177, 241]
[191, 241]
[16, 264]
[53, 168]
[79, 243]
[89, 243]
[90, 306]
[100, 15]
[98, 243]
[106, 215]
[108, 97]
[111, 15]
[110, 143]
[111, 306]
[120, 306]
[121, 241]
[129, 306]
[136, 215]
[139, 15]
[138, 143]
[146, 306]
[151, 215]
[155, 241]
[155, 306]
[164, 306]
[181, 306]
[182, 241]
[186, 167]
[198, 72]
[225, 306]
[48, 120]
[53, 72]
[9, 264]
[205, 241]
[231, 240]
[44, 168]
[43, 70]
[43, 50]
[43, 188]
[47, 260]
[47, 287]
[77, 95]
[77, 124]
[77, 190]
[77, 218]
[129, 188]
[164, 225]
[164, 39]
[180, 91]
[180, 157]
[5, 245]
[5, 255]
[43, 39]
[43, 91]
[43, 143]
[43, 202]
[47, 271]
[77, 14]
[77, 25]
[77, 57]
[77, 137]
[77, 148]
[77, 159]
[93, 39]
[95, 157]
[95, 169]
[95, 209]
[129, 160]
[129, 178]
[130, 53]
[130, 71]
[130, 82]
[164, 150]
[164, 195]
[164, 29]
[180, 40]
[180, 51]
[180, 62]
[180, 104]
[180, 115]
[180, 140]
[180, 194]
[180, 208]
[217, 293]
[77, 86]
[46, 127]
[186, 32]
[63, 254]
[90, 254]
[132, 104]
[145, 104]
[158, 104]
[199, 4]
[204, 254]
[22, 236]
[33, 236]
[51, 174]
[58, 127]
[61, 31]
[63, 174]
[71, 254]
[89, 4]
[96, 104]
[104, 4]
[108, 104]
[109, 233]
[111, 32]
[113, 4]
[119, 104]
[124, 254]
[136, 4]
[137, 150]
[141, 254]
[169, 254]
[185, 175]
[185, 254]
[188, 79]
[188, 128]
[197, 32]
[237, 233]
[51, 79]
[154, 8]
[170, 8]
[216, 233]
[226, 254]
[121, 150]
[150, 4]
[206, 32]
[206, 128]
[206, 178]
[157, 175]
[86, 49]
[173, 43]
[206, 66]
[99, 97]
[43, 179]
[121, 32]
[71, 133]
[71, 38]
[71, 45]
[71, 52]
[71, 60]
[71, 90]
[71, 98]
[71, 105]
[71, 112]
[71, 141]
[71, 149]
[71, 186]
[71, 194]
[71, 201]
[71, 209]
[86, 22]
[86, 39]
[86, 76]
[86, 30]
[86, 84]
[86, 91]
[86, 99]
[88, 172]
[88, 187]
[88, 200]
[88, 209]
[88, 217]
[88, 227]
[122, 39]
[122, 47]
[122, 54]
[122, 61]
[122, 68]
[122, 76]
[122, 83]
[123, 156]
[123, 164]
[123, 172]
[123, 180]
[123, 187]
[123, 195]
[123, 202]
[123, 209]
[157, 54]
[154, 76]
[157, 92]
[157, 189]
[157, 47]
[157, 75]
[157, 172]
[157, 208]
[173, 204]
[173, 213]
[173, 195]
[173, 29]
[173, 51]
[173, 120]
[173, 128]
[173, 136]
[173, 221]
[173, 229]
[206, 57]
[206, 41]
[206, 49]
[206, 89]
[206, 97]
[206, 104]
[206, 137]
[206, 144]
[206, 151]
[206, 159]
[206, 186]
[206, 199]
[236, 278]
[236, 286]
[261, 244]
[122, 90]
[206, 70]
[206, 117]
[206, 212]
[36, 244]
[195, 281]
[203, 166]
[219, 243]
[123, 215]
[39, 243]
[199, 11]
[233, 306]
[48, 216]
[57, 216]
[60, 306]
[115, 215]
[138, 97]
[138, 306]
[147, 143]
[149, 15]
[164, 241]
[173, 306]
[190, 306]
[58, 120]
[63, 168]
[64, 72]
[112, 97]
[119, 143]
[121, 15]
[130, 15]
[147, 97]
[154, 97]
[158, 15]
[185, 121]
[186, 215]
[188, 72]
[192, 121]
[193, 11]
[196, 167]
[201, 241]
[238, 240]
[247, 243]
[97, 143]
[99, 215]
[160, 143]
[131, 143]
[215, 278]
[131, 97]
[241, 243]
[77, 67]
[77, 172]
[217, 282]
[43, 192]
[43, 212]
[47, 279]
[77, 99]
[93, 79]
[93, 88]
[95, 185]
[129, 192]
[164, 164]
[164, 172]
[164, 186]
[164, 203]
[164, 217]
[164, 51]
[164, 96]
[180, 183]
[210, 246]
[217, 301]
[43, 54]
[43, 62]
[43, 107]
[43, 115]
[43, 134]
[43, 152]
[43, 160]
[77, 41]
[77, 49]
[77, 108]
[77, 116]
[77, 128]
[77, 194]
[77, 202]
[77, 210]
[77, 222]
[77, 230]
[93, 48]
[93, 56]
[95, 200]
[129, 169]
[129, 201]
[130, 44]
[130, 62]
[164, 43]
[164, 60]
[164, 76]
[164, 89]
[180, 95]
[43, 83]
[129, 152]
[130, 37]
[180, 131]
[81, 5]
[77, 182]
[164, 230]
[182, 5]
[210, 251]
[64, 236]
[73, 236]
[11, 236]
[45, 31]
[80, 254]
[95, 32]
[110, 254]
[118, 233]
[126, 233]
[128, 4]
[133, 254]
[141, 233]
[150, 254]
[152, 150]
[182, 32]
[194, 254]
[199, 174]
[243, 233]
[249, 233]
[19, 236]
[48, 174]
[60, 174]
[60, 253]
[67, 127]
[87, 254]
[93, 104]
[94, 233]
[105, 104]
[128, 104]
[133, 233]
[141, 104]
[145, 32]
[153, 32]
[155, 104]
[177, 254]
[185, 79]
[189, 4]
[196, 4]
[197, 79]
[197, 128]
[201, 254]
[69, 31]
[69, 79]
[179, 236]
[202, 236]
[235, 272]
[157, 165]
[157, 195]
[157, 201]
[195, 289]
[71, 118]
[67, 306]
[69, 243]
[73, 306]
[82, 243]
[83, 306]
[98, 306]
[103, 143]
[104, 306]
[133, 241]
[143, 241]
[144, 215]
[192, 215]
[206, 278]
[212, 278]
[257, 247]
[47, 263]
[47, 290]
[47, 296]
[164, 157]
[164, 210]
[217, 285]
[49, 254]
[98, 150]
[97, 4]
[97, 254]
[103, 254]
[115, 150]
[117, 254]
[121, 4]
[144, 4]
[145, 150]
[148, 233]
[154, 233]
[157, 254]
[163, 8]
[191, 236]
[229, 269]
[200, 278]
[101, 233]
[159, 233]
[164, 21]
[163, 70]
[144, 123]
[93, 64]
[149, 283]
[115, 127]
[116, 272]
[69, 290]
[87, 279]
[181, 276]
[63, 277]
[151, 120]
[100, 295]
[208, 268]
[101, 271]
[146, 271]
[127, 293]
[129, 130]
[97, 129]
[73, 264]
[95, 66]
[82, 64]
[86, 64]
[173, 74]
[158, 180]
[112, 196]
[118, 285]
[167, 277]
[187, 268]
[140, 168]
[70, 179]
[164, 64]
[71, 71]
[177, 166]
[164, 123]
[110, 80]
[109, 51]
[130, 271]
[144, 197]
[177, 294]
[143, 295]
[91, 117]
[140, 49]
[85, 290]
[88, 266]
[88, 182]
[179, 82]
[53, 302]
[251, 243]
[72, 79]
[164, 176]
[44, 237]
[135, 120]
[158, 275]
[111, 185]
[143, 77]
[60, 267]
[108, 164]
[152, 132]
[158, 293]
[58, 287]
[109, 264]
[117, 115]
[86, 71]
[71, 164]
[62, 204]
[148, 56]
[173, 270]
[214, 261]
[106, 125]
[136, 289]
[198, 267]
[54, 60]
[53, 157]
[54, 109]
[103, 73]
[189, 156]
[190, 109]
[77, 295]
[139, 133]
[182, 286]
[161, 107]
[138, 266]
[53, 140]
[87, 136]
[190, 186]
[53, 91]
[105, 202]
[60, 186]
[59, 42]
[194, 90]
[195, 43]
[144, 160]
[153, 265]
[173, 182]
[173, 16]
[91, 15]
[196, 241]
[62, 95]
[76, 285]
[78, 271]
[91, 296]
[107, 134]
[112, 44]
[113, 58]
[121, 122]
[121, 267]
[109, 279]
[122, 278]
[143, 115]
[145, 175]
[146, 85]
[135, 191]
[148, 190]
[163, 115]
[163, 135]
[196, 140]
[61, 138]
[111, 71]
[144, 205]
[176, 264]
[195, 60]
[25, 245]
[60, 155]
[61, 58]
[61, 107]
[105, 289]
[145, 43]
[149, 291]
[168, 294]
[185, 293]
[196, 154]
[196, 204]
[217, 268]
[55, 237]
[119, 134]
[69, 168]
[104, 86]
[156, 283]
[224, 283]
[141, 277]
[52, 200]
[64, 296]
[102, 54]
[104, 178]
[120, 297]
[93, 271]
[114, 203]
[227, 289]
[89, 126]
[77, 76]
[15, 245]
[53, 183]
[87, 110]
[140, 71]
[103, 45]
[140, 58]
[114, 160]
[97, 114]
[108, 150]
[174, 172]
