[87, 386]
[215, 386]
[231, 79]
[231, 386]
[268, 386]
[298, 386]
[327, 79]
[361, 386]
[377, 386]
[392, 386]
[399, 79]
[408, 386]
[423, 386]
[439, 386]
[494, 301]
[538, 301]
[560, 84]
[579, 386]
[595, 386]
[611, 84]
[611, 386]
[615, 179]
[74, 386]
[95, 79]
[129, 301]
[149, 301]
[310, 284]
[348, 386]
[350, 79]
[372, 79]
[385, 79]
[546, 84]
[202, 386]
[531, 84]
[533, 179]
[549, 385]
[12, 89]
[12, 178]
[12, 195]
[12, 212]
[12, 229]
[12, 247]
[12, 299]
[12, 316]
[122, 110]
[122, 158]
[122, 183]
[197, 339]
[197, 356]
[241, 214]
[377, 305]
[12, 59]
[12, 75]
[12, 133]
[12, 265]
[122, 128]
[122, 144]
[197, 374]
[241, 110]
[241, 126]
[241, 142]
[241, 158]
[354, 155]
[354, 192]
[354, 217]
[377, 324]
[439, 99]
[439, 114]
[439, 138]
[549, 307]
[12, 26]
[12, 108]
[12, 166]
[12, 363]
[122, 97]
[197, 327]
[241, 190]
[549, 362]
[17, 12]
[82, 12]
[108, 228]
[115, 12]
[181, 228]
[198, 228]
[232, 228]
[286, 12]
[303, 12]
[320, 12]
[338, 335]
[354, 12]
[356, 335]
[573, 121]
[580, 12]
[64, 12]
[96, 12]
[223, 12]
[251, 12]
[267, 12]
[300, 335]
[335, 12]
[369, 12]
[388, 147]
[403, 147]
[419, 147]
[431, 12]
[470, 12]
[509, 12]
[549, 12]
[554, 121]
[567, 215]
[597, 12]
[40, 12]
[88, 228]
[127, 12]
[139, 228]
[164, 12]
[189, 12]
[211, 228]
[225, 228]
[368, 335]
[394, 12]
[455, 12]
[494, 12]
[532, 215]
[533, 12]
[586, 121]
[591, 215]
[605, 215]
[611, 12]
[324, 228]
[377, 293]
[79, 162]
[79, 196]
[79, 206]
[112, 356]
[112, 367]
[112, 337]
[112, 346]
[200, 87]
[200, 100]
[200, 112]
[200, 122]
[200, 132]
[200, 142]
[200, 151]
[200, 161]
[200, 171]
[292, 290]
[292, 321]
[292, 310]
[318, 87]
[318, 99]
[318, 165]
[318, 177]
[318, 206]
[464, 306]
[464, 344]
[464, 356]
[464, 367]
[464, 325]
[464, 334]
[464, 379]
[524, 186]
[524, 195]
[625, 161]
[625, 228]
[625, 253]
[625, 264]
[625, 276]
[625, 140]
[625, 286]
[625, 319]
[625, 150]
[110, 386]
[205, 79]
[412, 79]
[25, 386]
[43, 386]
[136, 188]
[154, 188]
[167, 301]
[189, 301]
[244, 386]
[282, 386]
[317, 386]
[327, 284]
[344, 284]
[355, 284]
[366, 284]
[461, 386]
[471, 301]
[514, 301]
[525, 301]
[566, 386]
[567, 179]
[580, 84]
[585, 179]
[598, 84]
[602, 179]
[106, 79]
[165, 188]
[179, 301]
[210, 79]
[256, 386]
[426, 79]
[482, 301]
[550, 179]
[63, 386]
[175, 188]
[184, 188]
[220, 79]
[220, 386]
[236, 79]
[273, 386]
[337, 386]
[361, 79]
[366, 386]
[397, 386]
[417, 79]
[428, 386]
[452, 386]
[499, 301]
[543, 301]
[565, 84]
[584, 386]
[600, 386]
[616, 84]
[616, 386]
[620, 179]
[12, 94]
[12, 120]
[12, 183]
[12, 217]
[12, 234]
[12, 252]
[12, 304]
[12, 321]
[12, 340]
[122, 115]
[122, 163]
[197, 344]
[197, 361]
[241, 86]
[241, 97]
[241, 201]
[241, 219]
[354, 168]
[377, 310]
[439, 86]
[549, 330]
[549, 373]
[12, 37]
[12, 47]
[12, 200]
[12, 279]
[12, 351]
[354, 180]
[354, 205]
[354, 222]
[549, 312]
[549, 341]
[12, 64]
[12, 138]
[12, 155]
[12, 270]
[12, 289]
[122, 133]
[197, 316]
[197, 379]
[241, 115]
[241, 131]
[241, 147]
[241, 179]
[377, 329]
[549, 351]
[29, 12]
[103, 228]
[110, 12]
[141, 12]
[152, 12]
[153, 228]
[164, 228]
[176, 228]
[178, 12]
[193, 228]
[237, 12]
[281, 12]
[298, 12]
[315, 12]
[333, 335]
[347, 228]
[349, 12]
[351, 335]
[382, 12]
[418, 12]
[444, 12]
[483, 12]
[522, 12]
[540, 121]
[563, 12]
[568, 121]
[575, 12]
[580, 215]
[76, 12]
[128, 228]
[210, 12]
[322, 335]
[367, 147]
[407, 12]
[432, 147]
[554, 215]
[616, 121]
[51, 12]
[92, 228]
[118, 228]
[200, 12]
[312, 335]
[336, 228]
[544, 215]
[592, 12]
[597, 121]
[606, 121]
[616, 215]
[625, 217]
[79, 173]
[318, 196]
[524, 91]
[116, 79]
[122, 86]
[83, 228]
[112, 307]
[79, 85]
[299, 284]
[529, 121]
[528, 215]
[373, 335]
[372, 284]
[323, 79]
[529, 179]
[523, 253]
[523, 240]
[376, 183]
[118, 301]
[197, 306]
[598, 313]
[338, 271]
[338, 252]
[532, 266]
[524, 116]
[528, 247]
[246, 27]
[529, 232]
[382, 189]
